neighbor_move,initial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,1000.000,0.100,0.900,250,196109.513,196109.513,377031.004,1285,22000,5.841,174386.000,1.124571,12.457,13
two_opt,1000.000,0.100,0.900,500,196109.513,196109.513,455539.265,3103,44000,7.052,174386.000,1.124571,12.457,27
two_opt,1000.000,0.100,0.900,750,196109.513,195724.902,477920.023,4457,66000,6.753,174386.000,1.122366,12.237,40
two_opt,1000.000,0.100,0.900,1000,196109.513,196109.513,503169.133,6077,88000,6.906,174386.000,1.124571,12.457,52
two_opt,1000.000,0.100,0.900,1250,196109.513,196109.513,525464.942,7459,110000,6.781,174386.000,1.124571,12.457,65
two_opt,1000.000,0.100,0.900,1500,196109.513,196109.513,540029.633,8904,132000,6.745,174386.000,1.124571,12.457,84
two_opt,1000.000,0.100,0.925,250,196109.513,195790.703,392678.453,1680,29750,5.647,174386.000,1.122743,12.274,18
two_opt,1000.000,0.100,0.925,500,196109.513,196109.513,461790.661,3673,59500,6.173,174386.000,1.124571,12.457,35
two_opt,1000.000,0.100,0.925,750,196109.513,196109.513,512910.005,6115,89250,6.852,174386.000,1.124571,12.457,55
two_opt,1000.000,0.100,0.925,1000,196109.513,196109.513,518800.985,7836,119000,6.585,174386.000,1.124571,12.457,70
two_opt,1000.000,0.100,0.925,1250,196109.513,196109.513,542112.435,10051,148750,6.757,174386.000,1.124571,12.457,99
two_opt,1000.000,0.100,0.925,1500,196109.513,196109.513,540309.596,11495,178500,6.440,174386.000,1.124571,12.457,109
two_opt,1000.000,0.100,0.950,250,196109.513,196109.513,446344.417,3001,45000,6.669,174386.000,1.124571,12.457,35
two_opt,1000.000,0.100,0.950,500,196109.513,196109.513,506228.360,5980,90000,6.644,174386.000,1.124571,12.457,58
two_opt,1000.000,0.100,0.950,750,196109.513,196109.513,522356.396,8636,135000,6.397,174386.000,1.124571,12.457,91
two_opt,1000.000,0.100,0.950,1000,196109.513,196109.513,543453.965,11484,180000,6.380,174386.000,1.124571,12.457,106
two_opt,1000.000,0.100,0.950,1250,196109.513,196109.513,555263.554,14435,225000,6.416,174386.000,1.124571,12.457,132
two_opt,1000.000,0.100,0.950,1500,196109.513,196109.513,558822.915,17027,270000,6.306,174386.000,1.124571,12.457,164
two_opt,1000.000,0.100,0.975,250,196109.513,196109.513,504470.233,6018,91000,6.613,174386.000,1.124571,12.457,53
two_opt,1000.000,0.100,0.975,500,196109.513,196109.513,537665.873,11484,182000,6.310,174386.000,1.124571,12.457,107
two_opt,1000.000,0.100,0.975,750,196109.513,196109.513,556411.407,16945,273000,6.207,174386.000,1.124571,12.457,160
two_opt,1000.000,0.100,0.975,1000,196109.513,196109.513,556487.981,22025,364000,6.051,174386.000,1.124571,12.457,215
two_opt,1000.000,0.100,0.975,1250,196109.513,195014.521,563714.076,27316,455000,6.004,174386.000,1.118292,11.829,269
two_opt,1000.000,0.100,0.975,1500,196109.513,192353.877,568515.861,32641,546000,5.978,174386.000,1.103035,10.304,325
two_opt,1000.000,0.100,0.990,250,196109.513,196109.513,544392.167,14197,229250,6.193,174386.000,1.124571,12.457,137
two_opt,1000.000,0.100,0.990,500,196109.513,194631.958,564480.879,27383,458500,5.972,174386.000,1.116099,11.610,279
two_opt,1000.000,0.100,0.990,750,196109.513,189453.960,570496.055,40154,687750,5.838,174386.000,1.086406,8.641,442
two_opt,1000.000,0.100,0.990,1000,196109.513,189255.797,574168.113,53530,917000,5.838,174386.000,1.085269,8.527,642
two_opt,1000.000,0.100,0.990,1250,196109.513,186395.594,574390.233,66501,1146250,5.802,174386.000,1.068868,6.887,776
two_opt,1000.000,0.100,0.990,1500,196109.513,187187.761,578008.458,79919,1375500,5.810,174386.000,1.073410,7.341,912
two_opt,1000.000,0.100,0.995,250,196109.513,195386.832,559782.071,27166,459500,5.912,174386.000,1.120427,12.043,318
two_opt,1000.000,0.100,0.995,500,196109.513,188324.220,570711.679,53295,919000,5.799,174386.000,1.079927,7.993,632
two_opt,1000.000,0.100,0.995,750,196109.513,186087.683,574357.723,79273,1378500,5.751,174386.000,1.067102,6.710,931
two_opt,1000.000,0.100,0.995,1000,196109.513,185178.458,578560.842,105399,1838000,5.734,174386.000,1.061888,6.189,1286
two_opt,1000.000,0.100,0.995,1250,196109.513,181956.149,576306.132,131004,2297500,5.702,174386.000,1.043410,4.341,1597
two_opt,1000.000,0.100,0.995,1500,196109.513,182630.556,578871.883,158053,2757000,5.733,174386.000,1.047278,4.728,1865
two_opt,1000.000,0.010,0.900,250,196109.513,196109.513,376100.559,1421,27500,5.167,174386.000,1.124571,12.457,21
two_opt,1000.000,0.010,0.900,500,196109.513,196109.513,453221.683,3141,55000,5.711,174386.000,1.124571,12.457,37
two_opt,1000.000,0.010,0.900,750,196109.513,196109.513,485316.467,4593,82500,5.567,174386.000,1.124571,12.457,55
two_opt,1000.000,0.010,0.900,1000,196109.513,196109.513,509444.878,6349,110000,5.772,174386.000,1.124571,12.457,75
two_opt,1000.000,0.010,0.900,1250,196109.513,196109.513,517188.663,7419,137500,5.396,174386.000,1.124571,12.457,89
two_opt,1000.000,0.010,0.900,1500,196109.513,196109.513,520260.086,8467,165000,5.132,174386.000,1.124571,12.457,109
two_opt,1000.000,0.010,0.925,250,196109.513,196109.513,381894.935,1698,37000,4.589,174386.000,1.124571,12.457,26
two_opt,1000.000,0.010,0.925,500,196109.513,196109.513,469775.408,4125,74000,5.574,174386.000,1.124571,12.457,50
two_opt,1000.000,0.010,0.925,750,196109.513,196109.513,504521.648,5930,111000,5.342,174386.000,1.124571,12.457,78
two_opt,1000.000,0.010,0.925,1000,196109.513,196109.513,522877.737,7941,148000,5.366,174386.000,1.124571,12.457,101
two_opt,1000.000,0.010,0.925,1250,196109.513,196109.513,541025.357,9881,185000,5.341,174386.000,1.124571,12.457,129
two_opt,1000.000,0.010,0.925,1500,196109.513,196109.513,536958.408,11322,222000,5.100,174386.000,1.124571,12.457,147
two_opt,1000.000,0.010,0.950,250,196109.513,196109.513,441636.019,3022,56250,5.372,174386.000,1.124571,12.457,41
two_opt,1000.000,0.010,0.950,500,196109.513,196109.513,497208.792,5942,112500,5.282,174386.000,1.124571,12.457,71
two_opt,1000.000,0.010,0.950,750,196109.513,196109.513,522359.005,9004,168750,5.336,174386.000,1.124571,12.457,115
two_opt,1000.000,0.010,0.950,1000,196109.513,196109.513,537795.973,11542,225000,5.130,174386.000,1.124571,12.457,157
two_opt,1000.000,0.010,0.950,1250,196109.513,196109.513,552465.039,14604,281250,5.193,174386.000,1.124571,12.457,182
two_opt,1000.000,0.010,0.950,1500,196109.513,196109.513,548996.951,16497,337500,4.888,174386.000,1.124571,12.457,223
two_opt,1000.000,0.010,0.975,250,196109.513,196109.513,496584.714,5961,113750,5.240,174386.000,1.124571,12.457,80
two_opt,1000.000,0.010,0.975,500,196109.513,196109.513,533454.530,11529,227500,5.068,174386.000,1.124571,12.457,149
two_opt,1000.000,0.010,0.975,750,196109.513,196109.513,550336.237,17030,341250,4.990,174386.000,1.124571,12.457,235
two_opt,1000.000,0.010,0.975,1000,196109.513,193772.625,561072.190,22651,455000,4.978,174386.000,1.111171,11.117,308
two_opt,1000.000,0.010,0.975,1250,196109.513,190773.301,563567.535,27421,568750,4.821,174386.000,1.093971,9.397,400
two_opt,1000.000,0.010,0.975,1500,196109.513,189685.553,566729.914,32484,682500,4.760,174386.000,1.087734,8.773,484
two_opt,1000.000,0.010,0.990,250,196109.513,196109.513,543633.684,14338,286500,5.005,174386.000,1.124571,12.457,201
two_opt,1000.000,0.010,0.990,500,196109.513,190129.325,564167.913,27766,573000,4.846,174386.000,1.090279,9.028,401
two_opt,1000.000,0.010,0.990,750,196109.513,186521.260,570024.907,40274,859500,4.686,174386.000,1.069589,6.959,597
two_opt,1000.000,0.010,0.990,1000,196109.513,189411.802,572972.410,53495,1146000,4.668,174386.000,1.086164,8.616,771
two_opt,1000.000,0.010,0.990,1250,196109.513,186033.410,573967.178,67311,1432500,4.699,174386.000,1.066791,6.679,974
two_opt,1000.000,0.010,0.990,1500,196109.513,186108.806,575649.870,79225,1719000,4.609,174386.000,1.067223,6.722,1155
two_opt,1000.000,0.010,0.995,250,196109.513,191843.274,561282.455,27469,574250,4.783,174386.000,1.100107,10.011,383
two_opt,1000.000,0.010,0.995,500,196109.513,188197.565,573990.021,53734,1148500,4.679,174386.000,1.079201,7.920,770
two_opt,1000.000,0.010,0.995,750,196109.513,187508.342,577959.337,80062,1722750,4.647,174386.000,1.075249,7.525,1205
two_opt,1000.000,0.010,0.995,1000,196109.513,183490.344,579685.192,105268,2297000,4.583,174386.000,1.052208,5.221,1579
two_opt,1000.000,0.010,0.995,1250,196109.513,186304.804,578743.765,131570,2871250,4.582,174386.000,1.068347,6.835,2038
two_opt,1000.000,0.010,0.995,1500,196109.513,184703.708,577502.202,157445,3445500,4.570,174386.000,1.059166,5.917,2381
two_opt,1000.000,0.001,0.900,250,196109.513,196109.513,351782.247,1239,33000,3.755,174386.000,1.124571,12.457,23
two_opt,1000.000,0.001,0.900,500,196109.513,196109.513,438759.762,3104,66000,4.703,174386.000,1.124571,12.457,42
two_opt,1000.000,0.001,0.900,750,196109.513,196109.513,472712.784,4759,99000,4.807,174386.000,1.124571,12.457,67
two_opt,1000.000,0.001,0.900,1000,196109.513,196109.513,495203.165,5954,132000,4.511,174386.000,1.124571,12.457,94
