neighbor_move,initial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,1000.000,0.100,0.900,250,67390.421,60619.948,115817.393,1488,22000,6.764,56553.500,1.071904,7.190,3
two_opt,1000.000,0.100,0.900,500,67390.421,60287.697,118207.453,2827,44000,6.425,56553.500,1.066029,6.603,6
two_opt,1000.000,0.100,0.900,750,67390.421,59908.028,119013.664,4362,66000,6.609,56553.500,1.059316,5.932,10
two_opt,1000.000,0.100,0.900,1000,67390.421,59242.951,119859.531,5496,88000,6.245,56553.500,1.047556,4.756,14
two_opt,1000.000,0.100,0.900,1250,67390.421,59267.633,120141.175,6974,110000,6.340,56553.500,1.047992,4.799,16
two_opt,1000.000,0.100,0.900,1500,67390.421,59413.663,120997.320,8035,132000,6.087,56553.500,1.050574,5.057,19
two_opt,1000.000,0.100,0.925,250,67390.421,59494.367,116452.266,2021,29750,6.793,56553.500,1.052002,5.200,5
two_opt,1000.000,0.100,0.925,500,67390.421,59447.252,118519.239,3753,59500,6.308,56553.500,1.051168,5.117,8
two_opt,1000.000,0.100,0.925,750,67390.421,59848.009,120352.343,5327,89250,5.969,56553.500,1.058255,5.825,12
two_opt,1000.000,0.100,0.925,1000,67390.421,61101.714,119878.104,7199,119000,6.050,56553.500,1.080423,8.042,16
two_opt,1000.000,0.100,0.925,1250,67390.421,57945.425,120141.495,9078,148750,6.103,56553.500,1.024613,2.461,20
two_opt,1000.000,0.100,0.925,1500,67390.421,58338.399,120392.319,10627,178500,5.954,56553.500,1.031561,3.156,24
two_opt,1000.000,0.100,0.950,250,67390.421,60372.347,117858.643,2919,45000,6.487,56553.500,1.067526,6.753,6
two_opt,1000.000,0.100,0.950,500,67390.421,58730.722,117086.679,5275,90000,5.861,56553.500,1.038498,3.850,12
two_opt,1000.000,0.100,0.950,750,67390.421,59412.260,119163.966,8082,135000,5.987,56553.500,1.050550,5.055,18
two_opt,1000.000,0.100,0.950,1000,67390.421,58617.557,120864.003,10851,180000,6.028,56553.500,1.036497,3.650,24
two_opt,1000.000,0.100,0.950,1250,67390.421,58823.474,121458.249,13595,225000,6.042,56553.500,1.040139,4.014,31
two_opt,1000.000,0.100,0.950,1500,67390.421,58993.523,120313.537,16176,270000,5.991,56553.500,1.043145,4.315,37
two_opt,1000.000,0.100,0.975,250,67390.421,60706.691,118588.171,5354,91000,5.884,56553.500,1.073438,7.344,12
two_opt,1000.000,0.100,0.975,500,67390.421,58861.663,119440.167,10820,182000,5.945,56553.500,1.040814,4.081,24
two_opt,1000.000,0.100,0.975,750,67390.421,58670.089,121170.276,16038,273000,5.875,56553.500,1.037426,3.743,37
two_opt,1000.000,0.100,0.975,1000,67390.421,58252.681,119894.909,21512,364000,5.910,56553.500,1.030046,3.005,49
two_opt,1000.000,0.100,0.975,1250,67390.421,57040.269,120333.892,26463,455000,5.816,56553.500,1.008607,0.861,61
two_opt,1000.000,0.100,0.975,1500,67390.421,57864.228,120950.937,31624,546000,5.792,56553.500,1.023177,2.318,74
two_opt,1000.000,0.100,0.990,250,67390.421,58417.286,119958.350,13368,229250,5.831,56553.500,1.032956,3.296,31
two_opt,1000.000,0.100,0.990,500,67390.421,57919.073,119774.539,26618,458500,5.805,56553.500,1.024147,2.415,62
two_opt,1000.000,0.100,0.990,750,67390.421,57814.374,120060.411,39876,687750,5.798,56553.500,1.022295,2.230,93
two_opt,1000.000,0.100,0.990,1000,67390.421,57779.621,120038.884,52624,917000,5.739,56553.500,1.021681,2.168,124
two_opt,1000.000,0.100,0.990,1250,67390.421,57791.912,120923.258,65906,1146250,5.750,56553.500,1.021898,2.190,156
two_opt,1000.000,0.100,0.990,1500,67390.421,57692.174,120641.293,78846,1375500,5.732,56553.500,1.020134,2.013,188
two_opt,1000.000,0.100,0.995,250,67390.421,58035.297,120021.896,26007,459500,5.660,56553.500,1.026202,2.620,63
two_opt,1000.000,0.100,0.995,500,67390.421,57634.998,119791.564,52372,919000,5.699,56553.500,1.019123,1.912,126
two_opt,1000.000,0.100,0.995,750,67390.421,57533.928,120557.701,78163,1378500,5.670,56553.500,1.017336,1.734,187
two_opt,1000.000,0.100,0.995,1000,67390.421,57991.784,120596.028,104682,1838000,5.695,56553.500,1.025432,2.543,249
two_opt,1000.000,0.100,0.995,1250,67390.421,57605.645,120796.275,130694,2297500,5.689,56553.500,1.018604,1.860,310
two_opt,1000.000,0.100,0.995,1500,67390.421,57664.942,120881.616,158180,2757000,5.737,56553.500,1.019653,1.965,372
two_opt,1000.000,0.010,0.900,250,67390.421,59184.824,113745.930,1351,27500,4.913,56553.500,1.046528,4.653,3
two_opt,1000.000,0.010,0.900,500,67390.421,61592.528,117579.687,2879,55000,5.235,56553.500,1.089102,8.910,7
two_opt,1000.000,0.010,0.900,750,67390.421,58409.508,119760.548,4258,82500,5.161,56553.500,1.032819,3.282,11
two_opt,1000.000,0.010,0.900,1000,67390.421,60767.641,119007.263,5447,110000,4.952,56553.500,1.074516,7.452,15
two_opt,1000.000,0.010,0.900,1250,67390.421,58163.255,120557.296,6700,137500,4.873,56553.500,1.028464,2.846,19
two_opt,1000.000,0.010,0.900,1500,67390.421,57952.493,119983.488,8218,165000,4.981,56553.500,1.024738,2.474,22
two_opt,1000.000,0.010,0.925,250,67390.421,61110.432,116505.034,1992,37000,5.384,56553.500,1.080577,8.058,5
two_opt,1000.000,0.010,0.925,500,67390.421,59801.627,120045.687,3850,74000,5.203,56553.500,1.057435,5.743,10
two_opt,1000.000,0.010,0.925,750,67390.421,58491.076,121048.304,5725,111000,5.158,56553.500,1.034261,3.426,15
two_opt,1000.000,0.010,0.925,1000,67390.421,59641.253,119615.287,7328,148000,4.951,56553.500,1.054599,5.460,20
two_opt,1000.000,0.010,0.925,1250,67390.421,58823.790,121311.957,9054,185000,4.894,56553.500,1.040144,4.014,25
two_opt,1000.000,0.010,0.925,1500,67390.421,58855.390,120183.839,10626,222000,4.786,56553.500,1.040703,4.070,30
two_opt,1000.000,0.010,0.950,250,67390.421,60400.708,119247.785,2876,56250,5.113,56553.500,1.068028,6.803,8
two_opt,1000.000,0.010,0.950,500,67390.421,58487.693,119693.148,5617,112500,4.993,56553.500,1.034201,3.420,15
two_opt,1000.000,0.010,0.950,750,67390.421,58925.332,120050.551,8101,168750,4.801,56553.500,1.041940,4.194,23
two_opt,1000.000,0.010,0.950,1000,67390.421,58828.287,121340.397,11035,225000,4.904,56553.500,1.040224,4.022,30
two_opt,1000.000,0.010,0.950,1250,67390.421,59006.478,119174.256,13158,281250,4.678,56553.500,1.043374,4.337,38
