neighbor_moveinitial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,2000.000,0.000,0.975,250,196629.579,196629.579,611806.630,11653,166250,7.009,175110.000,1.122892,12.289,100
two_opt,2000.000,0.000,0.975,500,196629.579,196629.579,627220.873,22322,332500,6.713,175110.000,1.122892,12.289,196
two_opt,2000.000,0.000,0.975,750,196629.579,193775.226,640261.138,32697,498750,6.556,175110.000,1.106591,10.659,301
two_opt,2000.000,0.000,0.975,1000,196629.579,190347.276,641598.571,42568,665000,6.401,175110.000,1.087015,8.702,390
two_opt,2000.000,0.000,0.975,1250,196629.579,187047.606,644059.589,53279,831250,6.410,175110.000,1.068172,6.817,486
two_opt,2000.000,0.000,0.975,1500,196629.579,188231.556,648066.301,63788,997500,6.395,175110.000,1.074933,7.493,584
two_opt,2000.000,0.000,0.990,250,196629.579,195652.639,634987.602,27392,418250,6.549,175110.000,1.117313,11.731,245
two_opt,2000.000,0.000,0.990,500,196629.579,188421.325,642854.067,53570,836500,6.404,175110.000,1.076017,7.602,499
two_opt,2000.000,0.000,0.990,750,196629.579,187175.760,646553.059,78693,1254750,6.272,175110.000,1.068904,6.890,741
two_opt,2000.000,0.000,0.990,1000,196629.579,186275.997,651020.036,105571,1673000,6.310,175110.000,1.063766,6.377,993
two_opt,2000.000,0.000,0.990,1250,196629.579,187222.940,651818.830,130178,2091250,6.225,175110.000,1.069173,6.917,1249
two_opt,2000.000,0.000,0.990,1500,196629.579,184491.650,652995.548,155843,2509500,6.210,175110.000,1.053576,5.358,1496
two_opt,2000.000,0.000,0.995,250,196629.579,189820.489,643635.036,53565,838500,6.388,175110.000,1.084007,8.401,492
two_opt,2000.000,0.000,0.995,500,196629.579,186610.995,647951.410,104773,1677000,6.248,175110.000,1.065679,6.568,1012
two_opt,2000.000,0.000,0.995,750,196629.579,182755.568,650770.496,155896,2515500,6.197,175110.000,1.043662,4.366,1492
two_opt,2000.000,0.000,0.995,1000,196629.579,184845.387,650971.902,206248,3354000,6.149,175110.000,1.055596,5.560,1986
two_opt,2000.000,0.000,0.995,1250,196629.579,182878.782,653677.179,256520,4192500,6.119,175110.000,1.044365,4.437,2476
two_opt,2000.000,0.000,0.995,1500,196629.579,184269.168,653669.761,308866,5031000,6.139,175110.000,1.052305,5.231,2963
two_opt,5000.000,0.100,0.900,250,196629.579,196629.579,647104.754,5493,25750,21.332,175110.000,1.122892,12.289,17
two_opt,5000.000,0.100,0.900,500,196629.579,196629.579,669500.032,10214,51500,19.833,175110.000,1.122892,12.289,31
