neighbor_move,initial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,1000.000,0.100,0.900,250,61640.052,57657.259,110516.267,1648,22000,7.491,53817.000,1.071358,7.136,3
two_opt,1000.000,0.100,0.900,500,61640.052,55958.464,115794.067,3099,44000,7.043,53817.000,1.039792,3.979,6
two_opt,1000.000,0.100,0.900,750,61640.052,56765.789,113301.260,4493,66000,6.808,53817.000,1.054793,5.479,9
two_opt,1000.000,0.100,0.900,1000,61640.052,56686.461,114485.134,5802,88000,6.593,53817.000,1.053319,5.332,13
two_opt,1000.000,0.100,0.900,1250,61640.052,55707.399,117200.671,7255,110000,6.595,53817.000,1.035126,3.513,16
two_opt,1000.000,0.100,0.900,1500,61640.052,55150.790,115567.675,8600,132000,6.515,53817.000,1.024784,2.478,19
two_opt,1000.000,0.100,0.925,250,61640.052,55800.965,111953.650,2063,29750,6.934,53817.000,1.036865,3.687,4
two_opt,1000.000,0.100,0.925,500,61640.052,56369.476,113035.858,3994,59500,6.713,53817.000,1.047429,4.743,8
two_opt,1000.000,0.100,0.925,750,61640.052,55642.823,115088.170,5841,89250,6.545,53817.000,1.033927,3.393,12
two_opt,1000.000,0.100,0.925,1000,61640.052,55764.345,115998.470,7717,119000,6.485,53817.000,1.036185,3.618,16
two_opt,1000.000,0.100,0.925,1250,61640.052,55016.393,115713.456,9313,148750,6.261,53817.000,1.022287,2.229,20
two_opt,1000.000,0.100,0.925,1500,61640.052,55814.062,116378.543,11548,178500,6.469,53817.000,1.037108,3.711,23
two_opt,1000.000,0.100,0.950,250,61640.052,56360.577,114366.107,3071,45000,6.824,53817.000,1.047263,4.726,6
two_opt,1000.000,0.100,0.950,500,61640.052,57138.560,114488.569,5986,90000,6.651,53817.000,1.061720,6.172,12
two_opt,1000.000,0.100,0.950,750,61640.052,55907.131,115048.668,8737,135000,6.472,53817.000,1.038838,3.884,18
two_opt,1000.000,0.100,0.950,1000,61640.052,55967.311,116069.333,11679,180000,6.488,53817.000,1.039956,3.996,24
two_opt,1000.000,0.100,0.950,1250,61640.052,54606.415,115371.079,14439,225000,6.417,53817.000,1.014669,1.467,30
two_opt,1000.000,0.100,0.950,1500,61640.052,54570.340,115325.253,17018,270000,6.303,53817.000,1.013998,1.400,36
two_opt,1000.000,0.100,0.975,250,61640.052,56493.907,115463.065,5922,91000,6.508,53817.000,1.049741,4.974,12
two_opt,1000.000,0.100,0.975,500,61640.052,56046.518,115333.171,11422,182000,6.276,53817.000,1.041428,4.143,25
two_opt,1000.000,0.100,0.975,750,61640.052,54884.312,114391.563,16841,273000,6.169,53817.000,1.019832,1.983,37
two_opt,1000.000,0.100,0.975,1000,61640.052,54630.629,115060.717,22526,364000,6.188,53817.000,1.015118,1.512,48
two_opt,1000.000,0.100,0.975,1250,61640.052,54927.525,115867.743,28259,455000,6.211,53817.000,1.020635,2.064,60
two_opt,1000.000,0.100,0.975,1500,61640.052,55138.084,116207.024,33816,546000,6.193,53817.000,1.024548,2.455,72
two_opt,1000.000,0.100,0.990,250,61640.052,56076.353,114996.170,14327,229250,6.250,53817.000,1.041982,4.198,32
two_opt,1000.000,0.100,0.990,500,61640.052,55769.743,115016.675,28321,458500,6.177,53817.000,1.036285,3.628,61
two_opt,1000.000,0.100,0.990,750,61640.052,54195.251,115877.011,42012,687750,6.109,53817.000,1.007028,0.703,91
two_opt,1000.000,0.100,0.990,1000,61640.052,54667.770,114975.106,56752,917000,6.189,53817.000,1.015809,1.581,122
two_opt,1000.000,0.100,0.990,1250,61640.052,54294.858,116394.855,71116,1146250,6.204,53817.000,1.008879,0.888,152
two_opt,1000.000,0.100,0.990,1500,61640.052,54234.933,115319.053,84321,1375500,6.130,53817.000,1.007766,0.777,185
two_opt,1000.000,0.100,0.995,250,61640.052,55206.570,115074.793,28573,459500,6.218,53817.000,1.025820,2.582,61
two_opt,1000.000,0.100,0.995,500,61640.052,54905.924,115469.272,56431,919000,6.140,53817.000,1.020234,2.023,122
two_opt,1000.000,0.100,0.995,750,61640.052,54583.042,115233.777,85925,1378500,6.233,53817.000,1.014234,1.423,185
two_opt,1000.000,0.100,0.995,1000,61640.052,54414.231,115486.003,112497,1838000,6.121,53817.000,1.011097,1.110,246
two_opt,1000.000,0.100,0.995,1250,61640.052,55060.924,115772.760,140716,2297500,6.125,53817.000,1.023114,2.311,305
two_opt,1000.000,0.100,0.995,1500,61640.052,54327.069,115743.698,168484,2757000,6.111,53817.000,1.009478,0.948,373
two_opt,1000.000,0.010,0.900,250,61640.052,56793.864,109859.620,1547,27500,5.625,53817.000,1.055315,5.531,3
two_opt,1000.000,0.010,0.900,500,61640.052,56074.809,113571.266,3186,55000,5.793,53817.000,1.041953,4.195,7
two_opt,1000.000,0.010,0.900,750,61640.052,55823.417,114641.996,4549,82500,5.514,53817.000,1.037282,3.728,11
two_opt,1000.000,0.010,0.900,1000,61640.052,55830.712,114547.952,5703,110000,5.185,53817.000,1.037418,3.742,14
two_opt,1000.000,0.010,0.900,1250,61640.052,56257.652,117008.156,7585,137500,5.516,53817.000,1.045351,4.535,18
two_opt,1000.000,0.010,0.900,1500,61640.052,56665.527,115812.525,8617,165000,5.222,53817.000,1.052930,5.293,22
two_opt,1000.000,0.010,0.925,250,61640.052,56277.571,109162.017,2005,37000,5.419,53817.000,1.045721,4.572,4
two_opt,1000.000,0.010,0.925,500,61640.052,55418.145,113471.790,3875,74000,5.236,53817.000,1.029752,2.975,10
two_opt,1000.000,0.010,0.925,750,61640.052,56285.779,114598.237,5881,111000,5.298,53817.000,1.045874,4.587,14
two_opt,1000.000,0.010,0.925,1000,61640.052,55334.019,115147.893,7710,148000,5.209,53817.000,1.028188,2.819,19
two_opt,1000.000,0.010,0.925,1250,61640.052,55045.178,115907.803,9632,185000,5.206,53817.000,1.022821,2.282,24
