neighbor_move,initial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,1000.000,0.100,0.900,250,191894.621,191563.799,354248.035,1111,22000,5.050,172255.000,1.112094,11.209,14
two_opt,1000.000,0.100,0.900,500,191894.621,191894.621,428297.318,2687,44000,6.107,172255.000,1.114015,11.401,29
two_opt,1000.000,0.100,0.900,750,191894.621,191894.621,482338.495,4356,66000,6.600,172255.000,1.114015,11.401,41
two_opt,1000.000,0.100,0.900,1000,191894.621,191894.621,523344.085,6195,88000,7.040,172255.000,1.114015,11.401,52
two_opt,1000.000,0.100,0.900,1250,191894.621,191894.621,518854.406,7473,110000,6.794,172255.000,1.114015,11.401,63
two_opt,1000.000,0.100,0.900,1500,191894.621,191894.621,533450.412,8870,132000,6.720,172255.000,1.114015,11.401,77
two_opt,1000.000,0.100,0.925,250,191894.621,191894.621,397981.480,1768,29750,5.943,172255.000,1.114015,11.401,18
two_opt,1000.000,0.100,0.925,500,191894.621,191894.621,466428.922,3963,59500,6.661,172255.000,1.114015,11.401,34
two_opt,1000.000,0.100,0.925,750,191894.621,191894.621,494830.093,5791,89250,6.489,172255.000,1.114015,11.401,52
two_opt,1000.000,0.100,0.925,1000,191894.621,191894.621,523974.391,7998,119000,6.721,172255.000,1.114015,11.401,69
two_opt,1000.000,0.100,0.925,1250,191894.621,191894.621,539191.011,9949,148750,6.688,172255.000,1.114015,11.401,86
two_opt,1000.000,0.100,0.925,1500,191894.621,191894.621,535850.512,11536,178500,6.463,172255.000,1.114015,11.401,104
two_opt,1000.000,0.100,0.950,250,191894.621,191894.621,451082.955,3065,45000,6.811,172255.000,1.114015,11.401,26
two_opt,1000.000,0.100,0.950,500,191894.621,191894.621,498926.432,5934,90000,6.593,172255.000,1.114015,11.401,54
two_opt,1000.000,0.100,0.950,750,191894.621,191894.621,530975.515,8751,135000,6.482,172255.000,1.114015,11.401,79
two_opt,1000.000,0.100,0.950,1000,191894.621,191894.621,543678.735,11436,180000,6.353,172255.000,1.114015,11.401,104
two_opt,1000.000,0.100,0.950,1250,191894.621,191894.621,543417.085,14104,225000,6.268,172255.000,1.114015,11.401,130
two_opt,1000.000,0.100,0.950,1500,191894.621,191894.621,557428.515,16805,270000,6.224,172255.000,1.114015,11.401,156
two_opt,1000.000,0.100,0.975,250,191894.621,191669.977,505337.447,5951,91000,6.540,172255.000,1.112711,11.271,53
two_opt,1000.000,0.100,0.975,500,191894.621,191894.621,533281.561,11077,182000,6.086,172255.000,1.114015,11.401,110
two_opt,1000.000,0.100,0.975,750,191894.621,191894.621,549504.621,16471,273000,6.033,172255.000,1.114015,11.401,159
two_opt,1000.000,0.100,0.975,1000,191894.621,191894.621,556426.160,21670,364000,5.953,172255.000,1.114015,11.401,211
two_opt,1000.000,0.100,0.975,1250,191894.621,189494.798,558760.644,26734,455000,5.876,172255.000,1.100083,10.008,270
two_opt,1000.000,0.100,0.975,1500,191894.621,190751.102,567012.362,32305,546000,5.917,172255.000,1.107376,10.738,317
two_opt,1000.000,0.100,0.990,250,191894.621,191894.621,535598.342,13814,229250,6.026,172255.000,1.114015,11.401,133
two_opt,1000.000,0.100,0.990,500,191894.621,191894.621,558526.401,26802,458500,5.846,172255.000,1.114015,11.401,265
two_opt,1000.000,0.100,0.990,750,191894.621,189515.489,568136.774,40327,687750,5.864,172255.000,1.100203,10.020,401
two_opt,1000.000,0.100,0.990,1000,191894.621,185480.985,573101.073,52884,917000,5.767,172255.000,1.076781,7.678,536
two_opt,1000.000,0.100,0.990,1250,191894.621,184991.820,573336.447,66725,1146250,5.821,172255.000,1.073942,7.394,681
two_opt,1000.000,0.100,0.990,1500,191894.621,183802.842,571759.128,78378,1375500,5.698,172255.000,1.067039,6.704,806
two_opt,1000.000,0.100,0.995,250,191894.621,189814.480,562896.261,27449,459500,5.974,172255.000,1.101939,10.194,275
two_opt,1000.000,0.100,0.995,500,191894.621,183077.838,564839.054,52764,919000,5.741,172255.000,1.062830,6.283,535
two_opt,1000.000,0.100,0.995,750,191894.621,183585.778,573041.338,78877,1378500,5.722,172255.000,1.065779,6.578,846
two_opt,1000.000,0.100,0.995,1000,191894.621,182952.820,574816.036,104339,1838000,5.677,172255.000,1.062105,6.210,1115
two_opt,1000.000,0.100,0.995,1250,191894.621,181298.778,577744.890,130216,2297500,5.668,172255.000,1.052502,5.250,1354
two_opt,1000.000,0.100,0.995,1500,191894.621,180455.465,578146.328,155251,2757000,5.631,172255.000,1.047607,4.761,1642
two_opt,1000.000,0.010,0.900,250,191894.621,191894.621,343549.233,1131,27500,4.113,172255.000,1.114015,11.401,18
two_opt,1000.000,0.010,0.900,500,191894.621,191894.621,441220.930,2910,55000,5.291,172255.000,1.114015,11.401,34
two_opt,1000.000,0.010,0.900,750,191894.621,191894.621,485936.310,4621,82500,5.601,172255.000,1.114015,11.401,51
two_opt,1000.000,0.010,0.900,1000,191894.621,191894.621,504836.809,5952,110000,5.411,172255.000,1.114015,11.401,65
two_opt,1000.000,0.010,0.900,1250,191894.621,191894.621,508812.616,7283,137500,5.297,172255.000,1.114015,11.401,81
two_opt,1000.000,0.010,0.900,1500,191894.621,191894.621,527266.332,8692,165000,5.268,172255.000,1.114015,11.401,98
two_opt,1000.000,0.010,0.925,250,191894.621,191894.621,394769.238,1777,37000,4.803,172255.000,1.114015,11.401,23
two_opt,1000.000,0.010,0.925,500,191894.621,191894.621,461397.512,3838,74000,5.186,172255.000,1.114015,11.401,44
