neighbor_move,initial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,5000.000,0.001,0.900,250,62288.535,59974.917,141098.510,4809,36750,13.086,54679.000,1.096855,9.685,5
two_opt,5000.000,0.001,0.900,500,62288.535,58108.770,142801.367,9244,73500,12.577,54679.000,1.062726,6.273,12
two_opt,5000.000,0.001,0.900,750,62288.535,58902.013,141717.859,13819,110250,12.534,54679.000,1.077233,7.723,16
two_opt,5000.000,0.001,0.900,1000,62288.535,57874.652,142580.429,18391,147000,12.511,54679.000,1.058444,5.844,22
two_opt,5000.000,0.001,0.900,1250,62288.535,56793.371,143073.504,22853,183750,12.437,54679.000,1.038669,3.867,27
two_opt,5000.000,0.001,0.900,1500,62288.535,58131.428,143466.634,27261,220500,12.363,54679.000,1.063140,6.314,35
two_opt,5000.000,0.001,0.925,250,62288.535,59026.696,141566.837,6429,49500,12.988,54679.000,1.079513,7.951,7
two_opt,5000.000,0.001,0.925,500,62288.535,57372.084,142777.045,12413,99000,12.538,54679.000,1.049253,4.925,16
two_opt,5000.000,0.001,0.925,750,62288.535,58121.455,142083.304,18413,148500,12.399,54679.000,1.062958,6.296,24
two_opt,5000.000,0.001,0.925,1000,62288.535,56874.691,142808.976,24422,198000,12.334,54679.000,1.040156,4.016,30
two_opt,5000.000,0.001,0.925,1250,62288.535,57179.875,142605.108,30332,247500,12.255,54679.000,1.045737,4.574,38
two_opt,5000.000,0.001,0.925,1500,62288.535,58077.107,142693.667,36408,297000,12.259,54679.000,1.062146,6.215,50
two_opt,5000.000,0.001,0.950,250,62288.535,58555.371,141725.469,9692,75250,12.880,54679.000,1.070893,7.089,13
two_opt,5000.000,0.001,0.950,500,62288.535,58586.882,143574.517,18440,150500,12.252,54679.000,1.071470,7.147,22
two_opt,5000.000,0.001,0.950,750,62288.535,57365.679,143630.110,28007,225750,12.406,54679.000,1.049135,4.914,32
two_opt,5000.000,0.001,0.950,1000,62288.535,55991.809,143029.719,37001,301000,12.293,54679.000,1.024009,2.401,52
two_opt,5000.000,0.001,0.950,1250,62288.535,56705.526,142917.864,45469,376250,12.085,54679.000,1.037062,3.706,63
two_opt,5000.000,0.001,0.950,1500,62288.535,56563.874,142975.980,54746,451500,12.125,54679.000,1.034472,3.447,75
two_opt,5000.000,0.001,0.975,250,62288.535,57679.884,141948.266,18689,152500,12.255,54679.000,1.054882,5.488,23
two_opt,5000.000,0.001,0.975,500,62288.535,56708.109,142408.602,36664,305000,12.021,54679.000,1.037109,3.711,52
two_opt,5000.000,0.001,0.975,750,62288.535,56028.752,142832.443,55336,457500,12.095,54679.000,1.024685,2.469,79
two_opt,5000.000,0.001,0.975,1000,62288.535,56049.854,142824.108,73859,610000,12.108,54679.000,1.025071,2.507,98
two_opt,5000.000,0.001,0.975,1250,62288.535,56441.190,142860.760,91728,762500,12.030,54679.000,1.032228,3.223,122
two_opt,5000.000,0.001,0.975,1500,62288.535,55995.402,143057.151,110049,915000,12.027,54679.000,1.024075,2.408,144
two_opt,5000.000,0.001,0.990,250,62288.535,56405.036,142892.903,46502,383750,12.118,54679.000,1.031567,3.157,61
two_opt,5000.000,0.001,0.990,500,62288.535,55564.010,143368.494,92657,767500,12.073,54679.000,1.016186,1.619,132
two_opt,5000.000,0.001,0.990,750,62288.535,55978.262,143090.842,138398,1151250,12.022,54679.000,1.023762,2.376,187
two_opt,5000.000,0.001,0.990,1000,62288.535,55749.945,142836.042,184739,1535000,12.035,54679.000,1.019586,1.959,255
two_opt,5000.000,0.001,0.990,1250,62288.535,55497.006,143199.835,230228,1918750,11.999,54679.000,1.014960,1.496,324
two_opt,5000.000,0.001,0.990,1500,62288.535,55236.599,143210.461,276283,2302500,11.999,54679.000,1.010198,1.020,372
two_opt,5000.000,0.001,0.995,250,62288.535,56485.514,143187.898,92019,769500,11.958,54679.000,1.033039,3.304,125
two_opt,5000.000,0.001,0.995,500,62288.535,55925.946,143200.682,184108,1539000,11.963,54679.000,1.022805,2.280,257
two_opt,5000.000,0.001,0.995,750,62288.535,55477.055,142909.258,277005,2308500,11.999,54679.000,1.014595,1.460,386
two_opt,5000.000,0.001,0.995,1000,62288.535,55355.904,142931.252,368181,3078000,11.962,54679.000,1.012380,1.238,490
two_opt,5000.000,0.001,0.995,1250,62288.535,55408.230,143088.024,460267,3847500,11.963,54679.000,1.013337,1.334,625
two_opt,5000.000,0.001,0.995,1500,62288.535,55462.300,143085.036,551458,4617000,11.944,54679.000,1.014325,1.433,761
two_opt,5000.000,0.000,0.900,250,62288.535,59379.772,140532.885,4820,42250,11.408,54679.000,1.085970,8.597,6
two_opt,5000.000,0.000,0.900,500,62288.535,60002.452,142471.121,9362,84500,11.079,54679.000,1.097358,9.736,14
two_opt,5000.000,0.000,0.900,750,62288.535,57280.194,142410.145,13773,126750,10.866,54679.000,1.047572,4.757,22
two_opt,5000.000,0.000,0.900,1000,62288.535,57239.714,141993.608,18193,169000,10.765,54679.000,1.046832,4.683,28
