neighbor_moveinitial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,2000.000,0.000,0.900,750,62288.535,58747.817,130876.789,7968,120000,6.640,54679.000,1.074413,7.441,16
two_opt,2000.000,0.000,0.900,1000,62288.535,57889.989,133562.082,10666,160000,6.666,54679.000,1.058724,5.872,21
two_opt,2000.000,0.000,0.900,1250,62288.535,56686.612,131174.299,13216,200000,6.608,54679.000,1.036716,3.672,27
two_opt,2000.000,0.000,0.900,1500,62288.535,57460.166,132297.756,15523,240000,6.468,54679.000,1.050864,5.086,33
two_opt,2000.000,0.000,0.925,250,62288.535,59046.713,129460.284,3728,54000,6.904,54679.000,1.079879,7.988,7
two_opt,2000.000,0.000,0.925,500,62288.535,58405.516,130266.271,7222,108000,6.687,54679.000,1.068153,6.815,15
two_opt,2000.000,0.000,0.925,750,62288.535,57552.734,130710.314,10646,162000,6.572,54679.000,1.052556,5.256,22
two_opt,2000.000,0.000,0.925,1000,62288.535,57874.877,131890.160,14071,216000,6.514,54679.000,1.058448,5.845,29
two_opt,2000.000,0.000,0.925,1250,62288.535,57938.025,132535.224,17680,270000,6.548,54679.000,1.059603,5.960,36
two_opt,2000.000,0.000,0.925,1500,62288.535,57439.779,131341.560,20958,324000,6.469,54679.000,1.050491,5.049,44
two_opt,2000.000,0.000,0.950,250,62288.535,58390.138,129188.623,5397,82000,6.582,54679.000,1.067871,6.787,11
two_opt,2000.000,0.000,0.950,500,62288.535,57558.796,130329.162,10491,164000,6.397,54679.000,1.052667,5.267,22
two_opt,2000.000,0.000,0.950,750,62288.535,57910.499,132273.828,15741,246000,6.399,54679.000,1.059099,5.910,33
two_opt,2000.000,0.000,0.950,1000,62288.535,56316.076,132509.278,20852,328000,6.357,54679.000,1.029940,2.994,44
two_opt,2000.000,0.000,0.950,1250,62288.535,56301.364,132638.387,26381,410000,6.434,54679.000,1.029671,2.967,55
two_opt,2000.000,0.000,0.950,1500,62288.535,56849.164,131902.929,31332,492000,6.368,54679.000,1.039689,3.969,66
two_opt,2000.000,0.000,0.975,250,62288.535,57542.005,130608.279,10568,166250,6.357,54679.000,1.052360,5.236,22
two_opt,2000.000,0.000,0.975,500,62288.535,57138.203,131517.226,21177,332500,6.369,54679.000,1.044975,4.498,45
two_opt,2000.000,0.000,0.975,750,62288.535,55530.849,132099.446,31216,498750,6.259,54679.000,1.015579,1.558,67
two_opt,2000.000,0.000,0.975,1000,62288.535,56089.595,132189.015,41895,665000,6.300,54679.000,1.025798,2.580,90
two_opt,2000.000,0.000,0.975,1250,62288.535,56833.062,132343.712,52545,831250,6.321,54679.000,1.039395,3.939,113
two_opt,2000.000,0.000,0.975,1500,62288.535,55905.106,132229.158,62263,997500,6.242,54679.000,1.022424,2.242,136
two_opt,2000.000,0.000,0.990,250,62288.535,56967.758,131112.544,26110,418250,6.243,54679.000,1.041858,4.186,57
two_opt,2000.000,0.000,0.990,500,62288.535,56082.353,132674.136,52782,836500,6.310,54679.000,1.025665,2.567,113
two_opt,2000.000,0.000,0.990,750,62288.535,56196.189,132586.597,79214,1254750,6.313,54679.000,1.027747,2.775,172
two_opt,2000.000,0.000,0.990,1000,62288.535,57051.954,132156.928,104277,1673000,6.233,54679.000,1.043398,4.340,227
two_opt,2000.000,0.000,0.990,1250,62288.535,55301.478,132036.534,129645,2091250,6.199,54679.000,1.011384,1.138,284
two_opt,2000.000,0.000,0.990,1500,62288.535,55549.617,132092.381,156071,2509500,6.219,54679.000,1.015922,1.592,341
two_opt,2000.000,0.000,0.995,250,62288.535,55829.557,131814.685,52086,838500,6.212,54679.000,1.021042,2.104,115
two_opt,2000.000,0.000,0.995,500,62288.535,56053.785,132324.111,103924,1677000,6.197,54679.000,1.025143,2.514,228
